"SID","lat","lon","elev","name","producer"
10,62.397832,30.027159,0, "Hammaslahti","none" 
20,61.838334,25.111172,0,"Alhojärvi","none"
30,60.907743,27.283698,0,"Kaitjärvi","none"
40,63.891666,23.854307,0,"KannusI","none"
50,61.280910,23.750442,0,"Mattila","none"
60,61.044734,26.736920,0,"Selänpää","none"
70,62.487371,27.195678,0,"Suontee","none"
80,64.879316,25.503368,0,"Tupos","none"
90,64.55291,27.160815,0,"Jaalanka","none"
100,60.907849,27.285547,0,"Lautiosaari","none"
110,66.14115,24.921643,0,Loue,"none" 
